Date/Time,Cogeneration:ElectricitySurplusSold [J](Hourly),Cogeneration:ElectricityPurchased [J](Hourly),Photovoltaic:ElectricityProduced [J](Hourly) 
 01/16  23:00:00,0.0,5598876.98819866,0.0 
 01/16  24:00:00,0.0,5571728.85716681,0.0 
 01/17  01:00:00,0.0,5836199.25080403,0.0 
 01/17  02:00:00,0.0,6504984.43217743,0.0 
 01/17  03:00:00,0.0,7180675.34340663,0.0 
 01/17  04:00:00,0.0,7715507.73483458,0.0 
 01/17  05:00:00,0.0,8634848.19684681,0.0 
 01/17  06:00:00,0.0,10126946.7609827,0.0 
 01/17  07:00:00,0.0,11590589.5668491,0.0 
 01/17  08:00:00,0.0,11250144.2889629,530335.248797398 
 01/17  09:00:00,0.0,4287367.96752206,4358508.94484278 
 01/17  10:00:00,2031959.79577578,6567.44177783826,8276944.67659685 
 01/17  11:00:00,5455065.06944028,0.0,11071877.4895925 
 01/17  12:00:00,7882710.43116263,0.0,13224734.409787 
 01/17  13:00:00,9069064.85908598,0.0,14118938.7567892 
 01/17  14:00:00,8308046.65318823,0.0,13502273.7271974 
 01/17  15:00:00,5942572.03505199,0.0,11678125.0775781 
 01/17  16:00:00,2189492.07484238,0.0,8672974.82881165 
 01/17  17:00:00,0.0,2487074.87301407,5001997.7760763 
 01/17  18:00:00,0.0,7226694.57887491,628343.838435243 
